Removed Pin From Net: NetName=VCC_BATT_FILT Pin=C60-2
Removed Pin From Net: NetName=V12P0_ARD Pin=C61-1
Removed Pin From Net: NetName=V3P3 Pin=JMP1-1
Removed Pin From Net: NetName=THRST_EN Pin=JMP1-2
Removed Pin From Net: NetName=GND Pin=JMP2-1
Removed Pin From Net: NetName=REED_P Pin=JMP2-2
Removed Pin From Net: NetName=V12P0_ARD Pin=R37-2
Removed Pin From Net: NetName=GND Pin=TB1-18
Removed Pin From Net: NetName=V12P0_ARD Pin=TP16-1
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=U1-1
Removed Pin From Net: NetName=V12P0_ARD Pin=U1-3
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Member From Class: ClassName=Designator Member=JMP1
Removed Member From Class: ClassName=Designator Member=JMP2
Removed Member From Class: ClassName=J2_Nets Member=MUX_S0
Removed Member From Class: ClassName=MUX_S0_Nets Member=MUX_S0
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S0
Removed Member From Class: ClassName=U5_Nets Member=MUX_S0
Removed Member From Class: ClassName=J2_Nets Member=MUX_S1
Removed Member From Class: ClassName=MUX_S1_Nets Member=MUX_S1
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S1
Removed Member From Class: ClassName=U5_Nets Member=MUX_S1
Removed Member From Class: ClassName=J2_Nets Member=MUX_S2
Removed Member From Class: ClassName=MUX_S2_Nets Member=MUX_S2
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S2
Removed Member From Class: ClassName=U5_Nets Member=MUX_S2
Removed Member From Class: ClassName=C61_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=R37_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=TP16_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=U1_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=C60_Nets Member=VCC_BATT_FILT
Removed Member From Class: ClassName=U1_Nets Member=VCC_BATT_FILT
Change Component Footprint: Designator=C60 Old Footprint=FP-C1608-080-0_1-IPC_A New Footprint=CAPC2013X145X50LL20T25
Change Component Footprint: Designator=U1 Old Footprint=TO-263_L New Footprint=32A_M
Change Component Comment : Designator=TP16 Old Comment= New Comment=Test Point Pad
Change Component Comment : Designator=C60 Old Comment=330nF New Comment=4.7uF
Change Component Comment : Designator=R37 Old Comment=681R New Comment=220R
Change Component Comment : Designator=U1 Old Comment=L7812ABD2T-TR New Comment=ATmega328P-AU
Change Component Kind : Designator=TB1 Old Kind=Standard New Kind=Standard (No BOM)
Change Managed Component Library Link : Designator=C60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0E1FFC42-F177-4346-8D34-384284695200 New ItemGUID=0F103262-0BC7-4DBF-90F5-5535FBB26756 Old RevisionGUID=B30C0EEA-69EF-4835-B136-3FA067E00B7B New RevisionGUID=86CB5F9C-2FF9-44EE-87BB-692BABD83174
Change Managed Component Library Link : Designator=R37 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D5D24C98-CF8A-4954-9316-FFC3B219B35D New ItemGUID=65E29380-3414-4DF0-BB8B-D3A658E0A0DC Old RevisionGUID=6F85F0A3-4980-4E9F-9898-FB953BC416B3 New RevisionGUID=4B001B33-88E9-4237-8F82-5DB7581C1970
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=3A237323-EBFC-4277-8F16-D8A368BAA97E New ItemGUID=56502755-F026-40EB-BCF0-36AE7BFC5A49 Old RevisionGUID=0DE0A394-932F-4E97-9E36-09646DC2029C New RevisionGUID=240D5CCC-FCC4-45D4-8C62-91D49B903782
Change component parameters: Designator = "C60" ("C60"); Footprint = "FP-C1608-080-0_1-IPC_A"; UniqueID = "\HCTMQPSF\TWJTYZWD" ("\HCTMQPSF\TWJTYZWD")
Added Pin To Net: NetName=Ard_D9 Pin=U1-13
Added Net: Name=Ard_D9
Added Pin To Net: NetName=NetC87_2 Pin=C87-2
Added Pin To Net: NetName=NetC87_2 Pin=U9-2
Added Net: Name=NetC87_2
Added Pin To Net: NetName=NetD14_1 Pin=D14-1
Added Pin To Net: NetName=NetD14_1 Pin=R65-2
Added Net: Name=NetD14_1
Added Pin To Net: NetName=NetD15_1 Pin=D15-1
Added Pin To Net: NetName=NetD15_1 Pin=R66-2
Added Net: Name=NetD15_1
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=NetF1_1 Pin=J5-A4-B9
Added Pin To Net: NetName=NetF1_1 Pin=J5-B4-A9
Added Net: Name=NetF1_1
Added Pin To Net: NetName=NetJ5_A5 Pin=J5-A5
Added Pin To Net: NetName=NetJ5_A5 Pin=R60-1
Added Net: Name=NetJ5_A5
Added Pin To Net: NetName=NetJ5_B5 Pin=J5-B5
Added Pin To Net: NetName=NetJ5_B5 Pin=R64-1
Added Net: Name=NetJ5_B5
Added Pin To Net: NetName=NetR62_1 Pin=R62-1
Added Pin To Net: NetName=NetR62_1 Pin=U1-30
Added Net: Name=NetR62_1
Added Pin To Net: NetName=NetR63_1 Pin=R63-1
Added Pin To Net: NetName=NetR63_1 Pin=U1-31
Added Net: Name=NetR63_1
Added Pin To Net: NetName=NetR65_1 Pin=R65-1
Added Pin To Net: NetName=NetR65_1 Pin=U9-23
Added Net: Name=NetR65_1
Added Pin To Net: NetName=NetR66_1 Pin=R66-1
Added Pin To Net: NetName=NetR66_1 Pin=U9-22
Added Net: Name=NetR66_1
Added Pin To Net: NetName=NetU1_7 Pin=U1-7
Added Pin To Net: NetName=NetU1_7 Pin=Y1-3
Added Net: Name=NetU1_7
Added Pin To Net: NetName=NetU1_8 Pin=U1-8
Added Pin To Net: NetName=NetU1_8 Pin=Y1-1
Added Net: Name=NetU1_8
Added Pin To Net: NetName=RESET_N Pin=C87-1
Added Pin To Net: NetName=RESET_N Pin=P6-5
Added Pin To Net: NetName=RESET_N Pin=R46-1
Added Pin To Net: NetName=RESET_N Pin=SW2-1
Added Pin To Net: NetName=RESET_N Pin=SW2-2
Added Pin To Net: NetName=RESET_N Pin=U1-29
Added Net: Name=RESET_N
Added Pin To Net: NetName=RX Pin=U9-1
Added Net: Name=RX
Added Pin To Net: NetName=TX Pin=U9-5
Added Net: Name=TX
Added Pin To Net: NetName=USBD_N Pin=J5-A7
Added Pin To Net: NetName=USBD_N Pin=J5-B7
Added Pin To Net: NetName=USBD_N Pin=U9-16
Added Net: Name=USBD_N
Added Pin To Net: NetName=USBD_P Pin=J5-A6
Added Pin To Net: NetName=USBD_P Pin=J5-B6
Added Pin To Net: NetName=USBD_P Pin=U9-15
Added Net: Name=USBD_P
Added Pin To Net: NetName=VUSB Pin=C60-2
Added Pin To Net: NetName=VUSB Pin=C61-1
Added Pin To Net: NetName=VUSB Pin=D13-2
Added Pin To Net: NetName=VUSB Pin=F1-2
Added Net: Name=VUSB
Added Class: Name=C83_Nets
Added Class: Name=C84_Nets
Added Class: Name=C85_Nets
Added Class: Name=C86_Nets
Added Class: Name=C87_Nets
Added Class: Name=C88_Nets
Added Class: Name=C89_Nets
Added Class: Name=D13_Nets
Added Class: Name=D14_Nets
Added Class: Name=D15_Nets
Added Class: Name=F1_Nets
Added Class: Name=J5_Nets
Added Class: Name=P6_Nets
Added Class: Name=R46_Nets
Added Class: Name=R48_Nets
Added Class: Name=R57_Nets
Added Class: Name=R60_Nets
Added Class: Name=R62_Nets
Added Class: Name=R63_Nets
Added Class: Name=R64_Nets
Added Class: Name=R65_Nets
Added Class: Name=R66_Nets
Added Class: Name=SW1_Nets
Added Class: Name=SW2_Nets
Added Class: Name=U9_Nets
Added Class: Name=U10_Nets
Added Class: Name=Y1_Nets
Added Differential Pair: Name=USBD
Added Member To Class: ClassName=Designator Member=Component C83 1uF
Added Member To Class: ClassName=Designator Member=Component C84 1uF
Added Member To Class: ClassName=Designator Member=Component C85 4.7uF
Added Member To Class: ClassName=Designator Member=Component C86 100nF
Added Member To Class: ClassName=Designator Member=Component C87 100nF
Add Class Member: Failed to add class member : Component C88 330nF
Add Class Member: Failed to add class member : Component C89 330nF
Added Member To Class: ClassName=Designator Member=Component D13 MSS1P3L-M3/89A
Added Member To Class: ClassName=Designator Member=Component D14 RX LED
Added Member To Class: ClassName=Designator Member=Component D15 TX LED
Added Member To Class: ClassName=Designator Member=Component F1 SF-0603S050-2
Added Member To Class: ClassName=Designator Member=Component J5 USB4105-GF-A
Added Member To Class: ClassName=Designator Member=Component P6 TSW-103-08-L-D
Added Member To Class: ClassName=Designator Member=Component R46 1K
Added Member To Class: ClassName=Designator Member=Component R48 DNP
Added Member To Class: ClassName=Designator Member=Component R57 0R
Added Member To Class: ClassName=Designator Member=Component R60 5K1
Added Member To Class: ClassName=Designator Member=Component R62 1K
Added Member To Class: ClassName=Designator Member=Component R63 1K
Added Member To Class: ClassName=Designator Member=Component R64 5K1
Added Member To Class: ClassName=Designator Member=Component R65 1K
Added Member To Class: ClassName=Designator Member=Component R66 1K
Added Member To Class: ClassName=Designator Member=Component SW1 1825360-3
Added Member To Class: ClassName=Designator Member=Component SW2 PTS526SK15SMTR2LFS
Added Member To Class: ClassName=Designator Member=Component U9 FT232RL
Added Member To Class: ClassName=Designator Member=Component U10 MC7805CD2TR4G
Added Member To Class: ClassName=Designator Member=Component Y1 ABM8G-16.000MHZ-B4Y-T
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A0
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A1
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A2
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A3
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A4
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A5
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A6
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_A7
Added Member To Class: ClassName=TB1_Nets Member=Wire Ard_AREF
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_AREF
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D2
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D3
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D4
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D5
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D6
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D7
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D8
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D9
Added Member To Class: ClassName=J2_Nets Member=Wire Ard_D10
Added Member To Class: ClassName=MUX_S0_Nets Member=Wire Ard_D10
Added Member To Class: ClassName=TB1_Nets Member=Wire Ard_D10
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D10
Added Member To Class: ClassName=U5_Nets Member=Wire Ard_D10
Added Member To Class: ClassName=U1_Nets Member=Wire Ard_D13
Added Member To Class: ClassName=J2_Nets Member=Wire MISO
Added Member To Class: ClassName=MUX_S2_Nets Member=Wire MISO
Added Member To Class: ClassName=TB1_Nets Member=Wire MISO
Added Member To Class: ClassName=U1_Nets Member=Wire MISO
Added Member To Class: ClassName=U5_Nets Member=Wire MISO
Added Member To Class: ClassName=J2_Nets Member=Wire MOSI
Added Member To Class: ClassName=MUX_S1_Nets Member=Wire MOSI
Added Member To Class: ClassName=TB1_Nets Member=Wire MOSI
Added Member To Class: ClassName=U1_Nets Member=Wire MOSI
Added Member To Class: ClassName=U5_Nets Member=Wire MOSI
Added Member To Class: ClassName=U1_Nets Member=Wire NetR62_1
Added Member To Class: ClassName=U1_Nets Member=Wire NetR63_1
Added Member To Class: ClassName=U1_Nets Member=Wire NetU1_7
Added Member To Class: ClassName=U1_Nets Member=Wire NetU1_8
Added Member To Class: ClassName=U1_Nets Member=Wire RESET_N
Added Member To Class: ClassName=R37_Nets Member=Wire V5P0_ARD
Added Member To Class: ClassName=TP16_Nets Member=Wire V5P0_ARD
Added Member To Class: ClassName=U1_Nets Member=Wire V5P0_ARD
Added Member To Class: ClassName=C60_Nets Member=Wire VUSB
Added Member To Class: ClassName=C61_Nets Member=Wire VUSB
